"combination","total"
"Comedy, Romance, Science Fiction","102"
"Comedy, Romance, Thriller","62"
"Comedy, Romance, TV Movie","893"
"Comedy, Romance, War","27"
"Comedy, Romance, Western","27"
"Comedy, Science Fiction, Thriller","38"
"Comedy, Science Fiction, TV Movie","31"
"Comedy, Science Fiction, War","3"
"Comedy, Science Fiction, Western","5"
"Comedy, Thriller, TV Movie","15"
"Comedy, Thriller, War","2"
"Comedy, Thriller, Western","6"
"Comedy, TV Movie, War","2"
"Comedy, TV Movie, Western","28"
"Comedy, War, Western","1"
"Crime, Action","1500"
"Crime, Adventure","114"
"Crime, Animation","11"
"Crime, Comedy","1879"
"Crime, Documentary, Drama","45"
"Crime, Documentary, Family","1"
"Crime, Documentary, History","24"
"Crime, Documentary, Horror","4"
"Crime, Documentary, Music","6"
"Crime, Documentary, Mystery","5"
"Crime, Documentary, Thriller","4"
"Crime, Documentary, TV Movie","15"
"Crime, Documentary, War","3"
"Crime, Drama, Family","52"
"Crime, Drama, Fantasy","25"
"Crime, Drama, History","101"
"Crime, Drama, Horror","148"
"Crime, Drama, Music","71"
"Crime, Drama, Mystery","715"
"Crime, Drama, Romance","530"
"Crime, Drama, Science Fiction","16"
"Crime, Drama, Thriller","2011"
"Crime, Drama, TV Movie","557"
"Crime, Drama, War","24"
"Crime, Drama, Western","34"
"Crime, Family, Horror","1"
"Crime, Family, Mystery","2"
"Crime, Family, Romance","1"
"Crime, Family, Thriller","3"
"Crime, Family, TV Movie","1"
"Crime, Fantasy, History","1"
"Crime, Fantasy, Horror","8"
"Crime, Fantasy, Music","2"
"Crime, Fantasy, Mystery","6"
"Crime, Fantasy, Romance","4"
"Crime, Fantasy, Science Fiction","1"
"Crime, Fantasy, Thriller","8"
"Crime, Fantasy, War","1"
"Crime, Fantasy, Western","1"
"Crime, History, Horror","1"
"Crime, History, Music","2"
"Crime, History, Mystery","3"
"Crime, History, Romance","1"
"Crime, History, Science Fiction","1"
"Crime, History, Thriller","7"
"Crime, History, TV Movie","1"
"Crime, History, War","2"
"Crime, History, Western","1"
"Crime, Horror, Music","2"
"Crime, Horror, Mystery","95"
"Crime, Horror, Romance","5"
"Crime, Horror, Science Fiction","29"
"Crime, Horror, Thriller","335"
"Crime, Horror, TV Movie","3"
"Crime, Horror, War","1"
"Crime, Horror, Western","1"
"Crime, Music, Mystery","2"
"Crime, Music, Romance","5"
"Crime, Music, Thriller","10"
"Crime, Music, Western","1"
"Crime, Mystery, Romance","30"
"Crime, Mystery, Science Fiction","9"
"Crime, Mystery, Thriller","594"
"Crime, Mystery, TV Movie","139"
"Crime, Mystery, War","1"
"Crime, Mystery, Western","3"
"Crime, Romance, Science Fiction","1"
"Crime, Romance, Thriller","69"
"Crime, Romance, TV Movie","5"
"Crime, Romance, War","2"
"Crime, Romance, Western","4"
"Crime, Science Fiction, Thriller","22"
"Crime, Science Fiction, TV Movie","4"
"Crime, Thriller, TV Movie","192"
"Crime, Thriller, War","1"
"Crime, Thriller, Western","6"
"Crime, TV Movie, Western","3"
"Documentary, Action","100"
"Documentary, Adventure","284"
"Documentary, Animation","172"
"Documentary, Comedy","945"
"Documentary, Crime","232"
"Documentary, Drama, Family","32"
"Documentary, Drama, Fantasy","22"
"Documentary, Drama, History","146"
"Documentary, Drama, Horror","21"
